L,ratio,cfg,mc_step,m2,m4,U,avg_segments_per_site
32,0.952778,0,0,0.58147263389385262,0.33969614471241749,0.99765502535184236,17.6875
32,0.95277777779999995,1,5,0.54803051696269811,0.30148436672582984,0.99809061571760516,18.8125
32,0.95277777779999995,2,10,0.38447994427636489,0.15144053335775798,0.9877703026382364,20.6875
32,0.95277777779999995,3,15,0.11661698069360762,0.024612523484195348,0.59509588767095289,23.125
32,0.95277777779999995,4,20,0.3960202362467003,0.1608065735101549,0.98732865328532959,19.4375
32,0.95277777779999995,5,25,0.31867155964420679,0.13207727670004082,0.84970337779935479,19.8125
32,0.95277777779999995,6,30,0.53406702368513337,0.28836704651505923,0.99449656890919191,19.1875
32,0.95277777779999995,7,35,0.51681014653279134,0.27067080932497051,0.99330179859552403,19.1875
32,0.95277777779999995,8,40,0.48865997921509563,0.24078119924478694,0.99582763966848387,18.8125
32,0.95277777779999995,9,45,0.66209788577794992,0.43924206572512758,0.99900945751182457,16.5
32,0.95277777779999995,10,50,0.66425604332655375,0.4418261217968194,0.99933138889488216,17.6875
32,0.95277777779999995,11,55,0.59735140678669918,0.35776666153147763,0.99868570222484376,18.25
32,0.95277777779999995,12,60,0.55511290069629593,0.3090462618762268,0.99854627877658619,19.625
32,0.95277777779999995,13,65,0.54100572375754752,0.2939425352374625,0.99785548850707484,18
32,0.95277777779999995,14,70,0.31541644657607004,0.10923119938683792,0.95103072641902897,18.0625
32,0.95277777779999995,15,75,0.43699074604813221,0.19318501899228679,0.99417653896874558,19.9375
32,0.95277777779999995,16,80,0.52298920448355324,0.27570241218020269,0.99600628385308743,17.625
32,0.95277777779999995,17,85,0.52966386226543838,0.28186258431473632,0.99764960535228953,18.8125
32,0.95277777779999995,18,90,0.40138974266036248,0.17098868750755,0.96935406352513354,20
32,0.95277777779999995,19,95,0.23485416590550079,0.060586021149816226,0.95078056122191468,21.6875
32,0.95277777779999995,20,100,0.30598960217871346,0.100333759163626,0.96419871547825675,20.5
32,0.95277777779999995,21,105,0.54260706324441721,0.29600186492292291,0.99731773175948113,17.5625
32,0.95277777779999995,22,110,0.46074090067833973,0.21983128234204144,0.98221917432966044,19.125
32,0.95277777779999995,23,115,0.50291624088725062,0.25553564040567001,0.99483859308840505,18.1875
32,0.95277777779999995,24,120,0.51749205631582895,0.27055915752518939,0.99484475447370402,17.8125
32,0.95277777779999995,25,125,0.46817394515412597,0.22184108623042234,0.99394524946417906,18.125
32,0.95277777779999995,26,130,0.50305755808463148,0.25446679393412736,0.99723415596678633,20.125
32,0.95277777779999995,27,135,0.23261120338160904,0.068560635971360376,0.86644607518177019,22.125
32,0.95277777779999995,28,140,0.40178171125745349,0.16756836095602382,0.98098286299963022,19.4375
32,0.95277777779999995,29,145,0.46399257361506868,0.21766327556566789,0.99448609543299948,18.625
32,0.95277777779999995,30,150,0.33327100853768665,0.13383400051760619,0.89752172271998587,18.75
32,0.95277777779999995,31,155,0.29013527032345782,0.089191693297006922,0.97022268337458484,22.625
32,0.95277777779999995,32,160,0.45502078807071838,0.21073309928424686,0.99109082326365328,18.6875
32,0.95277777779999995,33,165,0.42887902064866773,0.19082071773613449,0.98128844288578754,19.0625
32,0.95277777779999995,34,170,0.53706801502555779,0.29026403039605941,0.99684169209185924,18.625
32,0.95277777779999995,35,175,0.50618041334192654,0.25816917692067887,0.99619355115696595,18.5625
32,0.95277777779999995,36,180,0.54213321433392125,0.29517972775937246,0.99783724184164491,18.3125
32,0.95277777779999995,37,185,0.3776751601855346,0.15667532869842404,0.95079589501602579,19.0625
32,0.95277777779999995,38,190,0.51825324342036161,0.26992173155406268,0.99751419446880074,19.4375
32,0.95277777779999995,39,195,0.53754708982345767,0.29123939906686963,0.9960504049283192,19.3125
32,0.95277777779999995,40,200,0.41883148465367653,0.17944719817800178,0.98852072185419537,20.125
32,0.95277777779999995,41,205,0.47416355152287443,0.22671295973412753,0.9958148886822682,19.5625
32,0.95277777779999995,42,210,0.38064497180093732,0.15240905897604493,0.97405468435795073,19.875
32,0.95277777779999995,43,215,0.57197210442152835,0.32828069131824122,0.99827510946371523,19.6875
32,0.95277777779999995,44,220,0.62471904329719485,0.39127753520270231,0.99871416947417124,16.1875
32,0.95277777779999995,45,225,0.51605426559313539,0.27116239132928338,0.99089341411450549,17.4375
32,0.95277777779999995,46,230,0.64102372707813338,0.41158763644027319,0.99917717331230549,17.8125
32,0.95277777779999995,47,235,0.48678769499870234,0.23880468142533778,0.99611241591135358,19.0625
32,0.95277777779999995,48,240,0.5458928472181791,0.30246577969251565,0.99250537914742543,16.5
32,0.95277777779999995,49,245,0.60462163128520763,0.36637884763856238,0.99889003942256571,18.75
32,0.95277777779999995,50,250,0.53786207945440168,0.29040505354335577,0.99808252015411192,19.0625
