L,ratio,n_measured,mean_U,var_U,tau_int (configs),N_required (configs),ac_units (N/(2*tau))
16,0.8,500,0.9908502052279038,0.0012975171595888534,0.9455491461717563,2453.732484784886,1297.5171595888535
16,0.8444444444444446,500,0.9830971940519739,0.0028140882275571387,0.9072827630329303,5106.347485032965,2814.088227557139
16,0.888888888888889,500,0.9577273027574649,0.010585867002325817,1.093138588013962,23143.639415652073,10585.867002325818
16,0.9333333333333333,500,0.8986819720777884,0.029470370881212272,1.5261228282677037,89950.81151866772,29470.370881212275
16,0.9777777777777777,500,0.8075965721450277,0.049327628289092304,0.9646473826012422,95167.53503799975,49327.6282890923
16,1.0222222222222221,500,0.7422512797622504,0.05475889406373044,1.8828078176285283,206200.94765576816,54758.89406373044
16,1.0666666666666667,500,0.6143751742415811,0.0621277756886458,1.1275110171143328,140099.50311551229,62127.77568864581
16,1.1111111111111112,500,0.5203401725443574,0.05728176936711199,0.8742369513110767,100155.67883441642,57281.76936711199
16,1.1555555555555554,500,0.47479092583287674,0.052334096224424594,0.7648660181726767,80057.1435876827,52334.0962244246
16,1.2,500,0.39958908335237836,0.04753262221812476,1.0064458903384572,95678.02457688421,47532.62221812476
32,0.8,500,0.9989369743450704,3.837389419856551e-06,0.7789854905430924,5.978541359263656,3.837389419856551
32,0.8444444444444446,500,0.9981597330451333,1.4158353310007538e-05,0.5686529814172466,16.10237964338906,14.158353310007538
32,0.888888888888889,500,0.993873385019129,0.0013531134592138453,0.5014041341972907,1356.9133649756382,1353.1134592138453
32,0.9333333333333333,500,0.9592442531442252,0.01167278088440369,1.1945550440857593,27887.558567944518,11672.78088440369
32,0.9777777777777777,500,0.889332465891592,0.030255500482873565,1.2744712422128497,77119.5305683587,30255.500482873565
32,1.0222222222222221,500,0.6818622521989138,0.05636406926113122,0.8653801626711687,97552.6948520135,56364.06926113122
32,1.0666666666666667,500,0.49369954592570664,0.04983407504570567,1.0297956716873518,102637.82956922073,49834.07504570567
32,1.07944,1,0.26591149859350754,nan,0.0,nan,nan
32,1.0794444444,4999,0.4504595545459168,0.052909065857096683,0.6546480809763068,69273.63685919475,52909.065857096684
32,1.09,5000,0.4213622763745956,0.048262616380656494,0.6146862994506476,59332.7381296639,48262.616380656495
32,1.1005555556,4999,0.392833598276047,0.04440859173027742,0.6070529376137777,53916.73213031164,44408.59173027742
32,1.10056,1,0.267820792755088,nan,0.0,nan,nan
32,1.11111,1,0.27694180081727204,nan,0.0,nan,nan
32,1.1111111111,4999,0.3604393324952108,0.04039595623990801,0.7358237261025583,59448.606079850004,40395.95623990801
32,1.1111111111111112,500,0.368567171500638,0.04447283682482913,1.2530406847459843,111452.54781516064,44472.83682482913
32,1.1555555555555554,500,0.25359801529448456,0.024645459027514086,0.8076388005145612,39809.25793422448,24645.459027514087
32,1.2,500,0.1946786066226875,0.016394309744256267,0.7093921387933756,23259.988907038067,16394.30974425627
64,1.2,93,0.0810366043773061,0.0018283522502730311,0.7453235377362084,2725.4279348029063,1828.3522502730311
