L,ratio,cfg,mc_step,m2,m4,U,avg_segments_per_site
64,1.2,0,0,0.0071419002488378961,0.00013920215117442893,0.13545333954891481,64.34375
64,1.2,1,5,0.0052425518123645348,7.4701529554886909e-05,0.14101696239146555,61.375
64,1.2,2,10,0.0041732635585860784,4.8834713334649508e-05,0.098003204577005287,63.4375
64,1.2,3,15,0.0038234342448682348,4.1789544968963209e-05,0.070676956724203377,62.5625
64,1.2,4,20,0.0068116246993038176,0.00012648681504425115,0.13694356231113508,62.34375
64,1.2,5,25,0.0063895963091944686,0.00011143007317235638,0.13533649034046835,62.46875
64,1.2,6,30,0.0042806411546122856,5.3328595390007033e-05,0.044834115756278714,63.34375
64,1.2,7,35,0.0055847110122925194,8.3859342331013971e-05,0.1556261798540956,63.8125
64,1.2,8,40,0.0043984376769633906,5.5955841232138747e-05,0.053832663482444532,61.25
64,1.2,9,45,0.0059278360105289741,9.7239625261543599e-05,0.11636697458008605,61.3125
64,1.2,10,50,0.0060157245989898474,9.982638654623506e-05,0.12076120790626044,61.15625
64,1.2,11,55,0.0078898574936447797,0.0001670617350346341,0.15813546838878073,60.78125
64,1.2,12,60,0.0040291313593121747,4.7269357399357048e-05,0.044115744694817549,62.5625
64,1.2,13,65,0.0033068266048377442,3.1532264659988128e-05,0.058208963243374101,63.96875
64,1.2,14,70,0.0044789573603086913,5.8156901099971085e-05,0.050502717798624752,60.53125
64,1.2,15,75,0.0044410093462095256,5.6639061280604883e-05,0.064105020956555958,62.375
64,1.2,16,80,0.0031151774356084462,2.8516749291019075e-05,0.030720412793953433,61.96875
64,1.2,17,85,0.0063412390433982418,0.00011404802829127258,0.081891252716510265,62.71875
64,1.2,18,90,0.0061083628613722452,0.0001018733672675283,0.13484800000021918,61.9375
64,1.2,19,95,0.0069600032965042961,0.00012552517152458927,0.20436719040788165,62.09375
64,1.2,20,100,0.010678280530430684,0.00030625132437058519,0.15709488613831424,60.53125
64,1.2,21,105,0.0041475409315013222,5.0005681996618758e-05,0.046523556182621884,61.40625
64,1.2,22,110,0.0062575423490739274,0.00010623196723107652,0.14350676148094349,61.5625
64,1.2,23,115,0.0055188113433957704,8.6602605226731872e-05,0.078293776029627282,63.15625
64,1.2,24,120,0.0039877371683091512,4.6433173807144337e-05,0.040025328358063994,63.59375
64,1.2,25,125,0.0041185216946872209,4.9510757520567086e-05,0.040557935554202951,63.375
64,1.2,26,130,0.0049139513806733016,6.8850611461406363e-05,0.074339570539402156,61.15625
64,1.2,27,135,0.0035376723291696689,3.6116495599538491e-05,0.05708616047042403,64.5625
64,1.2,28,140,0.0039359583818112456,4.5169057136562368e-05,0.042159422383700462,63.09375
64,1.2,29,145,0.0048933268842974277,6.9463630598153226e-05,0.049495682541427388,60.03125
64,1.2,30,150,0.0042786887248388627,5.3448138569637902e-05,0.040240858165308147,62.59375
64,1.2,31,155,0.0050324505367202333,7.21191917375824e-05,0.076157915541440413,63.21875
64,1.2,32,160,0.0046756016906969455,6.3414896391491673e-05,0.049605054664580761,61.8125
64,1.2,33,165,0.0037102797801924713,4.0413933246488715e-05,0.032129288932046307,63.90625
64,1.2,34,170,0.0088927111497916732,0.00021869150074585187,0.11728225180975344,63.21875
64,1.2,35,175,0.004959134087398849,7.1733258029680588e-05,0.041592602656658706,61.21875
64,1.2,36,180,0.005424783320760948,8.0055423824198303e-05,0.13982128863266163,60.71875
64,1.2,37,185,0.0064119119041098098,0.00011008777311755825,0.16114360418541679,62.5
64,1.2,38,190,0.0041018552202323876,4.8935530464798726e-05,0.045768157025931566,63.25
64,1.2,39,195,0.0049394939861151059,7.0319751472728529e-05,0.058938851921618907,63
64,1.2,40,200,0.0081146326515935813,0.00017445980175017525,0.17526914851498782,59.875
64,1.2,41,205,0.0037338066575935049,4.0602673103462299e-05,0.043800158540151179,64.28125
64,1.2,42,210,0.0052152816591167425,7.5380218980947484e-05,0.11429155779910072,63.4375
64,1.2,43,215,0.0040575891300417433,4.8247163139194124e-05,0.034770512958278321,63.46875
64,1.2,44,220,0.0042411542832502241,5.2485075587550701e-05,0.041059136534821017,61.6875
64,1.2,45,225,0.0039639598322467355,4.5864116549769801e-05,0.040565707582639943,62.3125
64,1.2,46,230,0.0043849582035385797,5.5510158604270588e-05,0.056517389653298111,61.34375
64,1.2,47,235,0.0048937466546808972,6.8720727429528457e-05,0.065254777519211049,62.96875
64,1.2,48,240,0.0040018327861272591,4.5709964421945522e-05,0.072871721886282825,63.8125
64,1.2,49,245,0.0048434375655812519,6.6501548692710197e-05,0.082593722108987355,63.34375
64,1.2,50,250,0.005233340153235698,7.3319556198845899e-05,0.16145830269595129,62.90625
64,1.2,51,255,0.0047552324963103425,6.2477920619021966e-05,0.11849309463706048,62.09375
64,1.2,52,260,0.0051061281824877989,7.2475327000565365e-05,0.11012174001233938,61.5625
64,1.2,53,265,0.0051590431199611203,7.6498042034266704e-05,0.062916482485908864,61.71875
64,1.2,54,270,0.0043436701695539663,5.4942250823881281e-05,0.043995319829789603,62.21875
64,1.2,55,275,0.0042008506188650234,4.9148168821732077e-05,0.1074754229688481,62.5
64,1.2,56,280,0.0056952444434964847,8.8678437089654991e-05,0.1330164240968309,61.75
64,1.2,57,285,0.0048277025432869386,6.7748188465030165e-05,0.04659488409724627,63.6875
64,1.2,58,290,0.0042574867973037582,5.2737898057910833e-05,0.045257251610433313,62.59375
64,1.2,59,295,0.0076381762574991331,0.00015557544678430606,0.1666882406218867,62.75
64,1.2,60,300,0.0046908716394201619,6.3844654489173368e-05,0.049267143593026586,59.71875
64,1.2,61,305,0.0047501664508590698,6.375360318781637e-05,0.087276780528350306,62.4375
64,1.2,62,310,0.0039451662199458766,4.4879109291562056e-05,0.058271042170483622,61.1875
64,1.2,63,315,0.0050985929564640719,7.44519113589793e-05,0.067992895536020059,63.84375
64,1.2,64,320,0.0040118841263401921,4.6794732765896808e-05,0.046315318986080711,61.375
64,1.2,65,325,0.0066755653212311125,0.00011859011706434941,0.1694156767881263,62.78125
64,1.2,66,330,0.0044094976712957768,5.6782484935818077e-05,0.039820780400889322,63.34375
64,1.2,67,335,0.0051103141154949091,7.3786082318220384e-05,0.087302212690018755,61.53125
64,1.2,68,340,0.0042994282256401048,5.4063941670607119e-05,0.037633250730063184,63.375
64,1.2,69,345,0.0050876766229358125,7.4545774465899383e-05,0.060028035794916001,60.1875
64,1.2,70,350,0.0045787943571545505,6.0751981552877268e-05,0.051134155841163431,61.8125
64,1.2,71,355,0.0046691172364363067,6.1969540495453464e-05,0.078723017415139873,64.28125
64,1.2,72,360,0.0029829002034947485,2.6279096622684619e-05,0.023263570697992453,65.46875
64,1.2,73,365,0.0055260004940996003,8.6693564512775302e-05,0.080501214185713599,62.15625
64,1.2,74,370,0.0049717887393509862,7.0975022071865349e-05,0.064344603225076458,62.6875
64,1.2,75,375,0.0042634843428007259,5.2302237428895123e-05,0.061330861828191086,63.3125
64,1.2,76,380,0.0036023397215903035,3.7768498690720603e-05,0.044774178129047437,64.5625
64,1.2,77,385,0.0038985599724690716,4.4343293626522983e-05,0.041220965970291845,63.5625
64,1.2,78,390,0.0060248151349883722,0.00010459739972593006,0.059200857517029859,62.65625
64,1.2,79,395,0.0052119461694105675,7.761794650922107e-05,0.071328734531180937,59.125
64,1.2,80,400,0.0059627254984622761,9.8632442372750641e-05,0.11292431509955769,62.375
64,1.2,81,405,0.0073887254520399112,0.00015156169558071825,0.11190113014355657,62.5625
64,1.2,82,410,0.0045497300795477799,6.0376365458448083e-05,0.041636770161056047,62.96875
64,1.2,83,415,0.0043978036400247663,5.6070801500186313e-05,0.050443660347696651,61.9375
64,1.2,84,420,0.0048435049011461171,6.7666311795641334e-05,0.057808196967033765,60.96875
64,1.2,85,425,0.0051664316745889836,7.6719396109518784e-05,0.062877465004110067,60.90625
64,1.2,86,430,0.0059016600251937824,9.6555739731065004e-05,0.11388352817265285,62
64,1.2,87,435,0.0061220604039189724,0.00010287176927656741,0.12763070403245313,62.34375
64,1.2,88,440,0.0045772811296580021,6.0366268085757625e-05,0.05938093292523372,61.78125
64,1.2,89,445,0.0053563733275222847,7.940100182546924e-05,0.11626059412334327,63.34375
64,1.2,90,450,0.0041001190177161742,4.885224463519799e-05,0.047013428813695191,62.59375
64,1.2,91,455,0.0054494359411817548,8.4921591734289602e-05,0.070167953390855409,62.84375
64,1.2,92,460,0.0039794624567285313,4.6405858198294229e-05,0.034809853508148414,60.1875
64,1.2,93,465,0.0062205606642421005
