L,ratio,cfg,mc_step,m2,m4,U,avg_segments_per_site
24,1.1,0,0,0.08827789669290266,0.011252122852469572,0.7780609804569103,21.75
24,1.1000000000000001,1,5,0.097868982551234329,0.01660489603771485,0.63320575663983569,19.583333333333332
24,1.1000000000000001,2,10,0.1302384352414854,0.023600560745203208,0.80431284174040152,18.5
24,1.1000000000000001,3,15,0.14953973616957905,0.040820252261267856,0.58729071550434764,18.916666666666664
24,1.1000000000000001,4,20,0.10470158217909491,0.019084937683291971,0.62952909114705502,20.916666666666664
24,1.1000000000000001,5,25,0.09875265370112174,0.014811669704198355,0.74058971725943645,19.833333333333332
24,1.1000000000000001,6,30,0.083421221015023958,0.013766549875385463,0.51089583088111645,20.416666666666664
24,1.1000000000000001,7,35,0.032164647053464571,0.0025402015387234484,0.27233295293082171,21.833333333333332
24,1.1000000000000001,8,40,0.064126786083930035,0.0084249684618613874,0.47562413111356611,20.666666666666664
24,1.1000000000000001,9,45,0.050744579906801118,0.0057933789409727772,0.37507746299467604,20.083333333333332
24,1.1000000000000001,10,50,0.12165715394760493,0.030028982471160291,0.48553909243197901,19.333333333333332
24,1.1000000000000001,11,55,0.075703915790090517,0.011796896287929211,0.47079691885005492,20.666666666666664
24,1.1000000000000001,12,60,0.14813380154360126,0.044710591047638124,0.481239544579176,17.833333333333332
24,1.1000000000000001,13,65,0.32205212460306165,0.10886872158623577,0.9751674158141943,18.083333333333332
24,1.1000000000000001,14,70,0.10431333269716805,0.017570373688499518,0.6926323185269585,19.166666666666664
24,1.1000000000000001,15,75,0.043380166867940176,0.0042530359551215821,0.36997871975268876,21.833333333333332
24,1.1000000000000001,16,80,0.039819557743876369,0.0038750116993091195,0.27805922247110948,21.916666666666664
24,1.1000000000000001,17,85,0.040101221164385824,0.0040251012404605791,0.24849780193346499,20
24,1.1000000000000001,18,90,0.092121337161484115,0.01804310020874754,0.43693284784766789,19.916666666666664
24,1.1000000000000001,19,95,0.10431024140273937,0.01926343531659596,0.61478280295892684,21.416666666666664
24,1.1000000000000001,20,100,0.10125248133709308,0.018686337096702581,0.58865496176754561,19.666666666666664
24,1.1000000000000001,21,105,0.07989789499606538,0.014903883792524471,0.33265618917147699,19.75
24,1.1000000000000001,22,110,0.067843632992502137,0.010985580280542031,0.30663082901810157,21.166666666666664
24,1.1000000000000001,23,115,0.038306212225938725,0.0036117689122471342,0.26930187477053963,23.75
24,1.1000000000000001,24,120,0.028073176489887004,0.0020722974436307466,0.18526270220716767,22.083333333333332
24,1.1000000000000001,25,125,0.033302315638247176,0.0029086437509537452,0.18867098331861537,22.583333333333332
24,1.1000000000000001,26,130,0.040631621883709536,0.0040037215651032559,0.28743352980072223,21.916666666666664
24,1.1000000000000001,27,135,0.10727573884358085,0.015688857416498145,0.8183549399018224,22.25
24,1.1000000000000001,28,140,0.026934748181355491,0.0019523529946081232,0.15444173542591821,21.333333333333332
24,1.1000000000000001,29,145,0.015990783947335285,0.0007278645345419342,0.076750460339152504,23.333333333333332
24,1.1000000000000001,30,150,0.028173163733317779,0.0020028232744344373,0.23834272743284973,24.166666666666664
