L,ratio,cfg,mc_step,m2,m4,U,avg_segments_per_site
48,1.06587,0,0,0.073181883694130201,0.010551774634417001,0.51488179865764905,37.458333333333329
48,1.0658730159000001,1,5,0.051074274874830565,0.0048201386009443297,0.57609969226914337,37.166666666666664
48,1.0658730159000001,2,10,0.015957944433792455,0.00070737245953013449,0.11112150160537859,38
48,1.0658730159000001,3,15,0.034455354195375633,0.0029200475479597187,0.27016601500938969,37.708333333333329
48,1.0658730159000001,4,20,0.022861690987695086,0.0014683162564257616,0.095334516008205916,37.625
48,1.0658730159000001,5,25,0.032655824296791695,0.0024633511634100402,0.34501849411380586,40.25
48,1.0658730159000001,6,30,0.05326089281199315,0.0067863531178131995,0.30383917851333508,35.458333333333329
48,1.0658730159000001,7,35,0.039987526660424808,0.0041242188131422651,0.21037745129741053,36.833333333333329
48,1.0658730159000001,8,40,0.019239247335360053,0.0010083171131852833,0.13795647263680666,39.125
48,1.0658730159000001,9,45,0.041864878762492848,0.0038172630575605349,0.41101369545458044,39.333333333333329
48,1.0658730159000001,10,50,0.043781125592982105,0.0044349227910827089,0.34313622540658112,38.541666666666664
48,1.0658730159000001,11,55,0.029158921138182445,0.0021856490906965419,0.21469103050526023,37.708333333333329
48,1.0658730159000001,12,60,0.032368177299652988,0.0025978636101641936,0.26020505226048296,39.25
48,1.0658730159000001,13,65,0.036185211197125026,0.0028576569125531174,0.40876605416561768,37.958333333333329
48,1.0658730159000001,14,70,0.023975660396489205,0.0014190559312746039,0.26567830966789546,38.5
48,1.0658730159000001,15,75,0.030587563208915043,0.0022705047947419311,0.28660369518265061,38.666666666666664
48,1.0658730159000001,16,80,0.061098506794957153,0.0068989935258084245,0.57595196317069652,38
48,1.0658730159000001,17,85,0.064893386966360572,0.010173713235287868,0.29205096042780893,36.833333333333329
48,1.0658730159000001,18,90,0.037779335377342627,0.0033782686004078938,0.31653463071567539,37.916666666666664
48,1.0658730159000001,19,95,0.065752066775492987,0.009045200397993277,0.45390920511799432,37.166666666666664
48,1.0658730159000001,20,100,0.050686392476786517,0.0052729728418125709,0.47377456451098776,37
48,1.0658730159000001,21,105,0.0219463200523441,0.0013000733082902678,0.15037091329884994,38.125
48,1.0658730159000001,22,110,0.055938263097155966,0.0071301145240643916,0.36067256478578363,41.291666666666664
48,1.0658730159000001,23,115,0.045461316563164565,0.0048705290856175471,0.32168304196073305,37.041666666666664
48,1.0658730159000001,24,120,0.051279088562526547,0.0051702760127638123,0.51688768159826814,37.875
48,1.0658730159000001,25,125,0.018043751588362997,0.00085050954360030675,0.19384259582512076,39.666666666666664
48,1.0658730159000001,26,130,0.033348328486428568,0.0028240096226035878,0.23033825310519124,40.291666666666664
48,1.0658730159000001,27,135,0.024777984640218388,0.0015632021735660884,0.22692732742623972,38.5
48,1.0658730159000001,28,140,0.054074029871143341,0.0053766483565111317,0.58060070838061173,37.5
48,1.0658730159000001,29,145,0.10606233155701206,0.013029519197188965,0.92087001095832077,37.583333333333329
48,1.0658730159000001,30,150,0.038638294099476826,0.0036228230160111263,0.28666357699518469,37.166666666666664
48,1.0658730159000001,31,155,0.025431102262159153,0.0015428965493464865,0.30717579420446001,38.875
48,1.0658730159000001,32,160,0.029796947013693023,0.0022922359052559385,0.20912028009175238,38.541666666666664
48,1.0658730159000001,33,165,0.030405832552669869,0.0023753228878100581,0.21536763666510861,38.375
48,1.0658730159000001,34,170,0.015234741447855147,0.00065202417684819566,0.095364864519615344,39.958333333333329
48,1.0658730159000001,35,175,0.051238858016885963,0.0059847212290778749,0.36023570938118282,37.791666666666664
48,1.0658730159000001,36,180,0.034317885255052173,0.002755304430918802,0.33023517117060602,37.166666666666664
48,1.0658730159000001,37,185,0.029815633229063217,0.0022903024932203263,0.21182526994552558,38.541666666666664
48,1.0658730159000001,38,190,0.054073769446771842,0.0055322316206425247,0.55398707736959096,39.625
48,1.0658730159000001,39,195,0.025429697996628968,0.0017182566408966624,0.17145695437742803,38.166666666666664
48,1.0658730159000001,40,200,0.027749067770836647,0.0020417074642856098,0.17423446226677941,39.041666666666664
48,1.0658730159000001,41,205,0.058705517481639949,0.0060161905970330708,0.62716179083182655,36.958333333333329
48,1.0658730159000001,42,210,0.061841793938529441,0.0062772772985632448,0.67931374527481769,35.916666666666664
48,1.0658730159000001,43,215,0.024859801609103324,0.0014903587357648885,0.29422713847113424,38.208333333333329
48,1.0658730159000001,44,220,0.054628550928773258,0.0061684795790095037,0.46650406107803244,38.958333333333329
48,1.0658730159000001,45,225,0.021902794177023503,0.0012549709146756705,0.19200940606407313,38.208333333333329
48,1.0658730159000001,46,230,0.072308658455934829,0.010968517980514333,0.45109212123168269,35.875
48,1.0658730159000001,47,235,0.064463049452604573,0.0089474430852209495,0.42341764741521398,36.791666666666664
48,1.0658730159000001,48,240,0.038222148562049169,0.0028718338633106615,0.51712310913393766,37.75
48,1.0658730159000001,49,245,0.027636058325023145,0.0019760765036019442,0.20633580748984082,39.25
48,1.0658730159000001,50,250,0.013586608062607723,0.00052436257052001405,0.079701614305514645,40.333333333333329
48,1.0658730159000001,51,255,0.023062168144755656,0.0014071119459793564,0.17718720814478839,38.458333333333329
48,1.0658730159000001,52,260,0.038508430733308237,0.0034718729848779569,0.32936314990868448,38
48,1.0658730159000001,53,265,0.030896719740104182,0.0024750939684307725,0.20360618835228184,38.666666666666664
48,1.0658730159000001,54,270,0.040450984513249154,0.0035494680756028118,0.41538629821770046,37.083333333333329
48,1.0658730159000001,55,275,0.016498232495862793,0.00074005742230915772,0.14055831063976337,38.791666666666664
48,1.0658730159000001,56,280,0.034079930211643246,0.0026403788998473898,0.36331830994825187,37.25
48,1.0658730159000001,57,285,0.019472833293947715,0.0010466316556966002,0.11991581691854819,36.958333333333329
48,1.0658730159000001,58,290,0.016334432141005169,0.00073949050160942195,0.11421925594789295,38.541666666666664
48,1.0658730159000001,59,295,0.033845741360090151,0.0027674432860951351,0.29207304930266231,38.333333333333329
48,1.0658730159000001,60,300,0.036226773444988127,0.0030930797951319302,0.32157535060434678,40.875
48,1.0658730159000001,61,305,0.022535469546819935,0.0013619361331979453,0.15910885219109427,39.166666666666664
48,1.0658730159000001,62,310,0.071740591809712539,0.0097628380642255704,0.55154620166061297,37.833333333333329
48,1.0658730159000001,63,315,0.032823894942639896,0.002052847136698495,0.54732144842816877,38.5
48,1.0658730159000001,64,320,0.056722601605353952,0.0056921297838387168,0.61542937206864412,40.125
48,1.0658730159000001,65,325,0.01406957796842925,0.00055680984081194179,0.093580868403247697,37.583333333333329
48,1.0658730159000001,66,330,0.078303764780573423,0.013023612948393793,0.43797143242557218,35.75
48,1.0658730159000001,67,335,0.061014832750027455,0.0060125413546132074,0.69247266815007125,38.833333333333329
48,1.0658730159000001,68,340,0.09920652198168077,0.013482269704667749,0.81505994149133432,37.5
48,1.0658730159000001,69,345,0.037763098878548819,0.00297886558856668,0.45555479497953272,39.166666666666664
48,1.0658730159000001,70,350,0.033551781909925589,0.0027554026113480548,0.27616212455307226,37.083333333333329
48,1.0658730159000001,71,355,0.036769137496144084,0.0029897833551682618,0.39428592263986795,38.75
48,1.0658730159000001,72,360,0.034808859887717113,0.0021091691443918398,0.62963420334143172,39.458333333333329
48,1.0658730159000001,73,365,0.062156324437479114,0.0067279271710631297,0.62927575750323428,36.625
48,1.0658730159000001,74,370,0.069807597261013668,0.0073842303185348854,0.7423478529296148,36.625
48,1.0658730159000001,75,375,0.029237915380704638,0.0022629119688749501,0.17643628043398846,38.208333333333329
48,1.0658730159000001,76,380,0.021571321497799802,0.0012573594905109569,0.14893586531032105,37.666666666666664
48,1.0658730159000001,77,385,0.015802279777919596,0.00069723198230314831,0.10392801835128712,38.708333333333329
48,1.0658730159000001,78,390,0.023472618872639919,0.0014315323164123851,0.20088359620653695,38.708333333333329
48,1.0658730159000001,79,395,0.096761650436251193,0.019656139435911917,0.45030846773467564,35.541666666666664
48,1.0658730159000001,80,400,0.051230322195281716,0.0048787591367272639,0.57055176402353158,36.083333333333329
48,1.0658730159000001,81,405,0.05023010780176445,0.0058759006176992666,0.33556238624640489,38.333333333333329
48,1.0658730159000001,82,410,0.070459471460624062,0.0090887721988475445,0.58463045175353268,37.791666666666664
48,1.0658730159000001,83,415,0.036537591754878841,0.003329551686331444,0.25297279695796981,39.25
48,1.0658730159000001,84,420,0.04419709315537209,0.005033820298433675,0.2115122363017074,38.541666666666664
48,1.0658730159000001,85,425,0.01822908728623137,0.00088177201947170459,0.17322747654047427,37.833333333333329
48,1.0658730159000001,86,430,0.015874847094789285,0.00070581410096157149,0.099635047007845201,40.416666666666664
48,1.0658730159000001,87,435,0.021556833521715814,0.0011732538990138371,0.23761427496231552,37.833333333333329
48,1.0658730159000001,88,440,0.043838340796502229,0.0042257523959461519,0.40057442924607872,37.041666666666664
48,1.0658730159000001,89,445,0.068694289079780466,0.010191032147792167,0.42019108381863662,35.541666666666664
48,1.0658730159000001,90,450,0.059022943370704628,0.0060924340512230838,0.62558194834437608,37
48,1.0658730159000001,91,455,0.033667591851478711,0.0029021511560351669,0.21983506984891998,37.625
48,1.0658730159000001,92,460,0.034239972331443012,0.0029933913170977072,0.22336517053677485,36.958333333333329
48,1.0658730159000001,93,465,0.039490818886519417,0.0036875268896739964,0.31774020341093934,36.375
48,1.0658730159000001,94,470,0.034124118475907711,0.0027172362243666577,0.33325884346624357,36.25
48,1.0658730159000001,95,475,0.075446715297579223,0.0098277046657422422,0.63674037801930372,36.625
48,1.0658730159000001,96,480,0.030062196490605726,0.002338299923783546,0.20631422833706764,36.583333333333329
48,1.0658730159000001,97,485,0.031400271966690076,0.0024898876375641327,0.23735014275410504,37.75
48,1.0658730159000001,98,490,0.076758923481498695,0.01049501592205278,0.60937402815868169,36.416666666666664
48,1.0658730159000001,99,495,0.037279997788323936,0.0033119652046019014,0.30847265417281883,37.916666666666664
48,1.0658730159000001,100,500,0.068760195866323884,0.0084174188925176339,0.60982635030557253,38.125
48,1.0658730159000001,101,505,0.040107114365269404,0.0039607376302861555,0.26887189414963947,36.166666666666664
48,1.0658730159000001,102,510,0.027092578240079726,0.0017543438996184316,0.30495554004457215,39.125
48,1.0658730159000001,103,515,0.027688273409385393,0.0018932625188660204,0.26522140598579119,39
48,1.0658730159000001,104,520,0.066887110265096347,0.0083294530932152781,0.56910301384602968,38.416666666666664
48,1.0658730159000001,105,525,0.011976516793821933,0.00040378263002087693,0.092473496831219026,40.708333333333329
48,1.0658730159000001,106,530,0.026434401310606783,0.0014789478774909063,0.44176062929309967,39
48,1.0658730159000001,107,535,0.047782104249015363,0.0046520692024516214,0.48120776109440377,37.708333333333329
48,1.0658730159000001,108,540,0.056245929372081428,0.0050568996042661598,0.70076932959087967,36.375
48,1.0658730159000001,109,545,0.04997252877809763,0.0046748508629802267,0.56400158914939691,37.458333333333329
48,1.0658730159000001,110,550,0.0127923056749309,0.00046025745764511315,0.093715526979939456,41.208333333333329
48,1.0658730159000001,111,555,0.079091915269150798,0.0086220926683109808,0.81084247010262001,36.125
48,1.0658730159000001,112,560,0.067650777212004715,0.008901904725601666,0.52746024015840121,37.5
48,1.0658730159000001,113,565,0.043766633156805845,0.004064100590916094,0.43916418078347091,39.208333333333329
48,1.0658730159000001,114,570,0.052768798049202682,0.0052808327453521065,0.55176056435048237,36.041666666666664
48,1.0658730159000001,115,575,0.052358609231353992,0.0061055381699797314,0.38642941448743751,37.375
48,1.0658730159000001,116,580,0.027195650750612265,0.0018848746174257493,0.22575317589478278,39.416666666666664
48,1.0658730159000001,117,585,0.026024700665849557,0.0017438720387858769,0.21260110324957826,37.333333333333329
48,1.0658730159000001,118,590,0.061627460404469571,0.0079659742765579265,0.45127804190354681,37.166666666666664
48,1.0658730159000001,119,595,0.032280203118128209,0.0027292794985007162,0.19037939430606338,36.791666666666664
48,1.0658730159000001,120,600,0.029617014637728003,0.0022957155523498423,0.19140420407014458,37.666666666666664
48,1.0658730159000001,121,605,0.078670556071692696,0.013391248907795949,0.4181510024901518,35.833333333333329
48,1.0658730159000001,122,610,0.042166788994281654,0.0046789547568975723,0.18423663912082616,36
48,1.0658730159000001,123,615,0.054630164700525112,0.0066716051410609378,0.38227408767735527,36.625
48,1.0658730159000001,124,620,0.023266992997255698,0.001404719868428519,0.20258411416516592,38.208333333333329
48,1.0658730159000001,125,625,0.089510982378823337,0.011536006232794677,0.78009889641390584,37.083333333333329
48,1.0658730159000001,126,630,0.04910403877016551,0.0056594729980215331,0.3264230566627867,36.666666666666664
48,1.0658730159000001,127,635,0.038551040740604545,0.0029679445529609411,0.50148734448364873,38.291666666666664
48,1.0658730159000001,128,640,0.054580858036166323,0.0068199063528404389,0.35536321630424617,38.5
48,1.0658730159000001,129,645,0.14352775263062501,0.030440690594335663,0.76115602558431827,35.416666666666664
